LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.20.27	Таракам саддукеил, аранмаю этыл тэдеттэ, Иисусу улгэмритэн:
LUK.20.28	– Хупкучимӈэ, Моисей мунтэки Итундула дукрин, ӈи-ккэ аканни көкэдин, ач-та хутлэ бичэ, тарбач көкэчэ нөн акми атыкаӈӈон атыкаӈгай ганна, хурэлгэн-дэ хутэлбэннэ. 
LUK.20.29	Надан акнил биситэн. Дюлэг, атыкалбариди, ач хутлэ биникэн көкэрин. 
LUK.20.30	Тарак атыкаӈӈон гя нөн атыкаӈай гадын, тарак-та ач хутлэ биникэн көкэрин. 
LUK.20.31	Илитан-нян тарич атыкаӈтарин, тарбач эйдучэндюр надан атыкаӈнаттытан, эйдучэндюр көкэритэн, ач хутлэр биситэн. 
LUK.20.32	Амардадутан атыкаӈатан көкэрин. 
LUK.20.33	Тарбач, арадякла-нян ӈи ноӈандин атыкаӈнатчин? Тарбач эйдучэндюр надан ноӈандин атыкаӈнатытан.
LUK.20.34	Иисус ноӈартакитан барагрин:
LUK.20.34	– Тек эйду бэил бисил атыкалбаватта, мерроттэ, 
LUK.20.35	тарбач ӈи-ккэ дюлэски аранна, дюлэски-дэ иннэ, этэр олдаграр, этэр мергэрэр, 
LUK.20.36	көкэдэвур-дэ туркудир, ангелалгачир оградир, – ноӈартан Хэвки хурэлни бис, арадяк хурэлни бис. 
LUK.20.37	Тарбач көкэчэл араннавутан, тарав Моисей мэнкэн гөвэттэн, эты мудна дуррий хятакаг анчиндун илатми, таракам Хунӈивут ноӈан Авраам Хэвкидин, Исаак Хэвкидин, Иаков Хэвкидин, гэрбуччӫттэн. 
LUK.20.38	Тарбач Хэвкиду көкэчэл ачча, Хэвки инил Хэвкитэн. Ноӈандун эйду инил бис.
LUK.20.39	– Хупкучимӈэ! Хи аич гөнэнри, – тарав гөнчэвэн хан Итум хупкучимӈэл барагритан. 
LUK.20.40	Тарбач Ноӈман яв-да улгэмдэвур туркучилритэн.
LUK.20.41	Нян Иисус ноӈартакитан гөнин:
LUK.20.41	– Он-нян бэил тачин гөвэттэ, Давид Мессияч хутлэттывэн? 
LUK.20.42	Мэнкэн-дэ Давид Хэвкиды Икэл книгалатан гөнчэн дукуттан: «Хунӈи Мин Хунӈиткив гөнни: „Ангидалив ӈаллив тэгэтли, 
LUK.20.43	Хин баргакалбус мариклаву, хин ӈиӈтэлэс тыктэтэн“». 
LUK.20.44	Тарбач, Давид Ноӈман Мэн Хунӈиди гэрбуттэн, он-нян Давид Ноӈандин хутлэтчин?
LUK.20.45	Таракам, чэлэн бэил Ноӈман долчиддакатан, Иисус Мэн хупкуттыӈэлтэкий гөнин:
LUK.20.46	– Итум Хупкучимӈэлбэн төгэӈчиӈрэлрэ, хэргили бисив ойлаттылбу, ноӈарбутан город толлин эскэдэтэн, нэӈэдекэлдулэ дюлэгэч тэгэттэвур, тоинэчэкту-дэ малду тагэттэвур аяврилбу. 
LUK.20.47	Ноӈартан навур эӈэевутэн маннотта, нян чэлэн коеридутэн гору нэӈэдӫттэ! Ноӈартан эгдем итунӈавур баккарадир!
LUK.21.1	Ичисниди-нян, Ноӈан эӈэелбу анивун тэпкэлэн анимдылбур нэддылбу иттин. 
LUK.21.2	Нян дӫгрив-да навум иттин, дӫрбу-ткэн мэӈэм тала нэчэв, 
LUK.21.3	тар гөнин:
LUK.21.3	– Айдиту хунтэки гөнэм: эрэк дӫгри навун чэлэдукун хоядмару нэдивэн, 
LUK.21.4	тарал эйдучэндюр мэр хулэктукур Хэвкиду анивум нэдытэн, ноӈан-аси дӫгридуки өмниги деплэӈи бичэв нэдин.
LUK.21.5	Нян ок-ка хан гөнэкэтэн, Хэвки Дюн эрипчилди делалди, анивурди-да нодаллтавканча бисивэн, Иисус гөнин:
LUK.21.6	– Инэӈэл-дэ одир, тек хун коеридукэсэн чэлэдукун дёл гя дёлду ойлэн өмэн-дэ этэн хулапта, чэлэн хаюпча бидин.
LUK.21.7	Нян Ноӈман улгэмритэн:
LUK.21.7	– Хупкучимӈэ! Ок-аси тарак бидин? Нян иррөчин ичунмэй биннэн, ок-та эчин некэбэннэвэн ичувкэндэй.
LUK.21.8	Иисус гөнин:
LUK.21.8	– Тогэӈчиӈэсэн, эдэвур ӈиду-дэ елкэврэ. Тарбач хоя-да эмдир, Мин Гэрбэдив гэрбэлэттир, Мин бисидив гөникэн, тарбач эрэк амрак биннэн, ноӈардутан эмэкэн бодда. 
LUK.21.9	Ок-аси кусим, булэтмэчим долдадис, эмэкэн хэӈулрэ, эррөчин-кэнэ биннэ, тарбач эрэк-тэ унэт эсни мудан бис.
LUK.21.10	Таракам Иисус ноӈартакитан гөнин:
LUK.21.10	– Ӈөнмин ӈөнмим дэпки булэтмэчилдир, тэгэмэрэдек тэгэмэрэдеку дэпки булэтмэтчир, 
LUK.21.11	тарда-танна төр хилгэлдин, нян демкэр, кэӈиркир, тадук-нян ӈэлэмэл оймаил бидир, эгдер-дэ ичукэнмэил няниндук ичусэндир. 
LUK.21.12	Нонан-кана хуну хэпкэндир, нян хуну хилгитчир, тарбач Минтэкэн Гэрбэлив нэӈэдекэл дюлдула хуну иткатчир, хинючакалдула хуну тэгукэндир, тэгэмэрэртэки, ӈунэмэчимӈэртэки-дэ дэпки хуну төрэвкэндир. 
LUK.21.13	Таракам ху Мину төрэдис. 
LUK.21.14	Тарбач эмэкэн мэргэттэ, мэн мявундюр эмэкэн ӈэлрэ, яв-да барагганнавур. 
LUK.21.15	Би-нян хун мэргэӈэсэн, төрэӈэсэн бөдим, таралбу дэпки гөндэсэн, хуну баргакал яв-да некӈэ туркудир, яв-да гөӈэ туркудир. 
LUK.21.16	Тарбач энтылдур, акнилдур, ханилдур, дялдур ху коивдис, хан-да хундук мавдир. 
LUK.21.17	Нян Мин Гэрбэлив чэлэн хунэч баргаклатчир. 
LUK.21.18	Тарбач өмэн-дэ нюрит хун дылдукэсэн этэн бэриптэ. 
LUK.21.19	Мэн маӈчиндюр мэн ханьмур айдис.
LUK.21.20	Ок-ка Иерусалиму кусимӈэлду эрэлэттыв итчис, таракам тарак город хаюкачиммон одыван халра. 
LUK.21.21	Таракам Иудеяла биддыл урэкчэртэки хэтэкэндэтэн, ӈи-ккэ городла бидин, тарал тадук дэрисэндэтэн, ӈи-ккэ анчиндулан бисни, тарал эдэтэн тала ир. 
LUK.21.22	Тарак мелэвдек инэӈэӈэн бидин, тарбач эйду дукутча обдин. 
LUK.21.23	Таракам өсэрилду, өкуттылду-дэ асалду хилус бидин, чэлэн төрлэ эгден хилус бидин, Хэвки тыкунни элэ ӈөнмилэ надин. 
LUK.21.24	Нян откэн дейдун көкэдир, нян танӈандула хөнтэлтэки ӈөнмиртэки илбэвдир, Иерусалим-да ач хэвкигчэрду кадачивдин, ач хэвкигчэл биӈситэн манукан.
LUK.21.25	Нян ичукэнмэил нӫлтэндулэ, бягла, осикаталдула-да ичулдир, төрлэ нян ӈөнмир хувулэндир, хасулдир; нам-да биялгалдин, улдалдин. 
LUK.21.26	Бэил ӈэлэмдук, алаттыдукур хилустук төрлэ наддылдук көкэдилдир, нянин эӈилни мэилбэндир. 
LUK.21.27	Таракам-нян Бэй Хутэн Очав итчир, тогэчин ойлэн эмэддыв, чэлэн эӈилкэм, эгдень хэррилкэм. 
LUK.21.28	Ок-ка тарак одилдин, мэнур ӈунрулрэ, дылалбур огэрлилрэ, тарак хун айчинмайсан эмэдилрэн.
LUK.21.29	Нян Иисус ноӈартакитан төлэӈу тэлэнрин:
LUK.21.29	– Смоковницав нян эйдувэн хякитав коетлилрэ. 
LUK.21.30	Тарал эбдэнрэлбэрэкэтэн, ху тарав итми, мэркэр хавачис, дюгани одилриван. 
LUK.21.31	Тачин-та-тта Мин гөнчэгчиму одилриван итми, Хэвки Тэгэмэрэдекэн эмривэн хаӈасан. 
LUK.21.32	Айдиту хунтэки гөнэм, эдлэтэн чэлэдюр ӈөнмир манур, эрэк эйду оградин. 
LUK.21.33	Нянин, төр-дэ манудир, тарбач Мин Төрэрбу этэр манур.
LUK.21.34	Мэнур-дэ авдаткаралра, эдилрэ дебэнь, коланакач, тэрукэчинь-тэкэн инэӈтэн мэргэлэттэ, ун бидимнин тарак инэӈ хуну эдэн оламкан, 
LUK.21.35	тарбач тарак инэӈ эйдувэн бэилбу чэлэн төрлэ бисилбу адалгачин амалтадин. 
LUK.21.36	Нян эрэгэр тогэӈчиникэн бигрэлрэ, нян эрэгэр биннэлдук хилусалдук мэнур айчидавур нэӈэдьгэрэлрэ, нян Бэй Хутэн Очав дэпки илдавур.
LUK.21.37	Инэӈтэн Иисус Хэвки Дюлан хупкучиддин, хисэчин-нян хөрми, долбоннон Елеон гэрбэлэттыду урэкчэнду биддин. 
LUK.21.38	Тар чэлэн бэил бадираптук Хэвки Дюлан Иисустаки, Ноӈман долчидавур, эмгэрэритэн.
LUK.22.1	Ач дюирла килеб, опреснокач, Пасхач гэрбэлэтты, хэбдекэдекэн одилрин. 
LUK.22.2	Тарбач дюлэгэл хиргэмчиӈэл попал, итум хупкучимӈэл-дэ он-ул Иисусу мадавур хипкаттитан, тарбач ноӈартан бэилбу-дэ ӈэлритэн. 
LUK.22.3	Мян өмэн Иисус апостолални гасантан Иуда, Искариотач гэрбэлэтты, эмдэн долан хайтан ирин. 
LUK.22.4	Нян ноӈан дюлэгэлтэки хиргэчимӈэлтэки попалтаки, Хэвки Дюн бэгэсэлтэкин ӈэнрин, таралнюн укчэндэй, он-да Иисусу ноӈардутан бөвкэндэй. 
LUK.22.5	Тарал хөкнитан, Иудаду мэӈэӈгэн тали некчэлин бөдэвур гөнитэн. 
LUK.22.6	Тарбач Иуда гөлдэрин, нян хипкачидилрин, он-да Иисусу бөдэй, бэил тарав этылэтэн коер.
LUK.22.7	Опреснокал инэӈэӈэтэн один, ок бэил Хэвкиду пасхадыв хонӈачам отлэннэ биситэн. 
LUK.22.8	Тарбач Иисус Пётэру, Иоам-да хөрукэнин, гөникэн:
LUK.22.8	– Ӈэнэлрэ, мут дебдэт пасхав кимлилра.
LUK.22.9	Ноӈартан Иисусу улгэмритэн:
LUK.22.9	– Илэ ириттэкун гөндинри?
LUK.22.10	Иисус нонартакитан гөнин:
LUK.22.10	– Эр ху, городла идилми, бэю, екэду мөв инсив бакалдадис, ноӈан илэ-ккэ дюла ӈэндин, тала ноӈандун бодӈасан, 
LUK.22.11	тар дю хунӈиткин гөӈэсэн: «Хупкучимӈэ хинтэки гөнни, илэ тарак харан, Мин Хупкуттыӈэлнюми пасхав дептэку ай бимчи?» 
LUK.22.12	Нян ноӈан хунду эгдем гиркэттыв харам ичукэндин, таду кимдис.
LUK.22.13	Ноӈартан хөрритэн, эйду Иисус гончэгчинни бакритан, тар пасхав кимритан.
LUK.22.14	Тарак час одакан, Иисус апостолалнюн өмэтту тэгэлнитэн. 
LUK.22.15	Нян Ноӈан ноӈартакитан гөнин:
LUK.22.15	– Би хуннюн эрэв пасхав дебэмсив, Мин Хиладяку эдлэн од. 
LUK.22.16	Хунтэки-дэ гөнэм, укал эдук Би, пасхав Хэвки Тэгэмэрэдеклэн-тэкэн дебдэй, этэм тек дептэ.
LUK.22.17	Нян алику гадыди, Хэвкитки тэкэм гөниди, гөнин:
LUK.22.17	– Эрэв алимлилра, тар мэр доливур боритматлилра; 
LUK.22.18	нян хунтэки гөнэм, тек-кэл Хэвки Тэгэмэрэдекэн окан, виноград тэвтэдукун очав минэв этэм колра.
LUK.22.19	Нян килебу гадыди, Хэвкитки тэкэм гөниди, калтирин, ноӈардутан бөрин, гөникэн:
LUK.22.19	– Эрэк Мин Булгису бисни, хундули эрэк бөпти. Килебу деблилрэ, Мину дёӈчидавур.
LUK.22.20	Дебэдек муднакан, Иисус нян-да алику гадин, гөникэн:
LUK.22.20	– Эрэк минэ – Хэвки Мэн ӈөнмирнюми Анӈамта Гөлдэнни, Мин хуӈэлдив хинэмэлтэчэ, эрэк Хуӈэлу хундули оӈкэлбэн. 
LUK.22.21	Амрак хундук өмэн мину бөвкэндин, тарак ӈалан элэ тоинэклэ мин ӈалу анчидулан бисни. 
LUK.22.22	Бэй Хутэн Оча Мэн учики дэпки, Хэвки гөнчэгчинни, ӈэнрэн, тарбач тарак бэй, Ноӈман бөвкэнчэ, хилдин.
LUK.22.23	Нян апостолал мэр дөливур улгимимэчидилритэн, тарак ӈи ноӈардукутан бисни, таррөчим некэннэ.
LUK.22.24	Мэр-дэ доливур элгимэттитэн, ӈи ноӈардукутун бэгэн биннэ. 
LUK.22.25	Тарбач Иисус ноӈартакитан гөнин:
LUK.22.25	– Ӈөнмир тэгэмэрэлтэн мэр ӈөнмирбур ӈунэмэттэ, тарбач тарал, ӈөнмирбур эӈидюр дявутми, унэт-тэ «аимӈалди» гэрбучиврэ. 
LUK.22.26	Ху-си хөнтэч неклилрэ, ӈи хундук бэгэррэн, тарак кучукэдмэргэчин бидэн, нян ӈунмэтти кэлмэгчин бидэн. 
LUK.22.27	Тарбач ӈи эгдедьмэр тогинэкту тэгэтти, эв кэлмэ-гу? Эв тогинэкту тэгэтты? Би-си хун дулкакандуласан кэлмэгчин бисэм. 
LUK.22.28	Мин хиладдаку, Ху Миннюн бисисэн. 
LUK.22.29	Тачин-та-тта, он Мин Амму Тэгэмэрэдеку дявуттаку бөрин, Би дявучинмаю хунду бөрэм, 
LUK.22.30	ху-дэ Мин Тэгэмэрэдеклэв тоинэкту дебдэсэн, колдасан-да, тарбач, тэгэмэрэл тэгэлгэндутэн тэгэтникэн, мян дӫрбу Израиль дяланалбан итуттасан.
LUK.22.31	Нян Хунӈит гөнин:
LUK.22.31	– Симон! Симон! Эр хайтан гасчирин, хуну пшеницав некригчин дэлкэттэй. 
LUK.22.32	Тарбач Би хину нэӈэддыв, хин тэденси эдэн манур, хи-дэ Мину тэдеми мэн акнилби тэдемутэн маӈи овкандас.
LUK.22.33	Пётр Ноӈантакитан барагрин:
LUK.22.33	– Хунӈит! Би Хинду хинючакла, көкэнтэки-дэ боддай кимуттам.
LUK.22.34	Нян Иисус гөнин:
LUK.22.34	– Хинтэки гөнэм, Пётр, эрэв инэӈу петух ирканни эдлэн илрэ, хи укал илракан нурутчинри этий Мину хар.
LUK.22.35	Нян Иисус ноӈартакитан гөнин:
LUK.22.35	– Ок Би хуну ач мэӈэӈнэч, ач хэруклэч, ач унталач-та хөрукэттэку, яч ху дӫгрисан?
LUK.22.35	Ноӈартан барагритан:
LUK.22.35	– Яч-та эчилбун дӫгра.
LUK.22.36	Таракам Ноӈан ноӈартакитан гөнин:
LUK.22.36	– Тек-нян ӈи мэӈэлкэн бисни, тарак тарав гадан, тарбач хэруки-дэ гадан. Ӈи ач яӈалкан-да бисни, тарак мэн ои униюкэндэн, нян откэм унидэн. 
LUK.22.37	Тарбач Би Хунтэки гөнэм, Дукундула дукутты «Ноӈан усмагарнюн таӈутча бидин» тарак Миннюн оградин. Тарак эйду як-ка Мину дукуттан, амрак один.
LUK.22.38	Ноӈартан Иисустэки гөнитэн:
LUK.22.38	– Хунӈит! Эр элэ дӫр откэл бис.
LUK.22.38	Ноӈан ноӈартакитан гөнин:
LUK.22.38	– Элэкэн бидин.
LUK.22.39	Иисус городдук нёрин, эрэглэ неккэрэгчими Елеонскайтаки урэкчэнтэки хөррин. Ноӈандун хупкуттыӈэлни бодаснитан. 
LUK.22.40	Тала ӈэнриди, ноӈартакитан гөнин:
LUK.22.40	– Нэӈэдлилрэ, эдэвур мэнур эевкэчиврэ.
LUK.22.41	Нян Мэнкэн дӫлу улэкич хупкуттыӈэлби далидутан, хэнӈэнди илриди, нэӈэдилрин, 
LUK.22.42	гөникэн:
LUK.22.42	– Амму, эрэв хин качагчинси бисэкэн, Миндукув хилусал аликутан хөрукэли. Хин касагчинси одан, эсни мин касагчиму бис!
LUK.22.43	Нян ангел Ноӈантакин няниндук ичулрин, Иисусу бэлдэй, хинэмэлбэвкэттэй. 
LUK.22.44	Хилникан, унэт энтэкэе матрутникан, Иисус нэӈэддин, Ноӈан хокэлэн, хуӈэл урэчин, төрлэ нублирин. 
LUK.22.45	Иисус, нэӈэддий оддыди, илрин, Мэн хупкуттыӈэлтэкий ӈэнрин, нян таралбу, набутми хэтчэлбу, хуклэрилбу иттин, 
LUK.22.46	нян Ноӈан хупкуттыӈэлтэкий гөнин:
LUK.22.46	– Ями ху хуклэс? Илилра, нэӈэдлилрэ-дэ, эдэвур мэнур эевкэчиврэ.
LUK.22.47	Иисус тарав унэт гөндидэкэн, эмрил бэил ичулритэн, дюлдэлэтэн мян дӫрдук апостолалдук өмэн гиркарин, Иудач гэрбэлэтты, нян ноӈан Иисустаки дагамрин, Ноӈман гудендэй. Иуда тачин хамуврин: «Ӈив би гудендим, тарак Ноӈан бидин». 
LUK.22.48	Иисус-нян ноӈантакин гөнин:
LUK.22.48	– Иуда, эв мэн гуденди Бэй Хутэн Очав бөнри?
LUK.22.49	Иисуснюн хупкуттыӈэлни бичэл, итми тарав, унуми-да, як-та одыван, Ноӈантакин гөнитэн:
LUK.22.49	– Хунӈит! Отлэрэкун-нян?
LUK.22.50	Ноӈардукутан өмэн дюлэг хиргэчимӈэ поп кэлмэвэн мэн откэди хонаснин, тарак анӈидаван кориттон чикирин. 
LUK.22.51	Таракам Иисус гөнин:
LUK.22.51	– Эдилрэ, элэкэн!
LUK.22.51	Нян кэлмэ кориттон тэмисниди, тарав айрин. 
LUK.22.52	Тарбач-нян Иисус дюлэгэлтэки хиргэмӈэлтэки попалтаки, Хэвки Дюн бэгэсэлтэкин, каганкартаки-да, Ноӈман дэпки чакапчалтаки, гөнин:
LUK.22.52	– Мину хэпкэндэвур хөнэлу некригчин откэлкэсэр, хяраӈалкасар ху эмрисэн. 
LUK.22.53	Инэӈтэн Би хуннюн Хэвки Дюлан биддыв, ху Мину эчилсэн-дэ хэпкэстир, тарбач тек хун бинисэн одни, хатар-да дявучинмайн одни.
LUK.22.54	Ноӈартан Иисусу, хэпкэнидюр, хөруритэн, дюлэг хиргэчимӈэ поп дюлан илбэритэн. Пётр-нян тэгэли амардаду боддин. 
LUK.22.55	Этумӈэл дю хиткидун гулуӈавур гулритан, далта тэгэлнитэн, Пётр-дэ ноӈартан долатан тэгрин. 
LUK.22.56	Өмэн кэлмэ аси, гулун анчиндун ноӈман итми, аймакань тэрэмкэттыди, гөнин:
LUK.22.56	– Эрэк-тэ Ноӈнюнни бисин.
LUK.22.57	Пётр-нян Ноӈман харий нуруттин, аситки гөнин:
LUK.22.57	– Би Ноӈман эсэм хар.
LUK.22.58	Эсимэсукэн хөнтэ-нян, Пётэру итми, гөнин:
LUK.22.58	– Хи-дэ ноӈардукутан бисэнри.
LUK.22.58	Тарбач Пётр тартаки бэйтэки гөнин:
LUK.22.58	– Эсэм.
LUK.22.59	Асукут өмэн час елтэнэкэн, унэт өмэн касагчиникан гөнин:
LUK.22.59	– Айдит, эрэк-тэ Ноӈнюнни бисин, Галилеянкан-да бими.
LUK.22.60	Тарбач Петр тартаки бэйтэки гөнин:
LUK.22.60	– Эсэм хар, яв-да хин гөнивус.
LUK.22.60	Ун тарав ноӈан гөндиддэкэн, петух иркалрин. 
LUK.22.61	Таракам Хунӈит эсэнин, Пётр-тэки ичиснин, нян Пётр Хунӈит төрэмэн дёнин, он-да Ноӈан ноӈантакин гөнчэвэн: «Эрэв инэӈу петух ирканни эдлэн илрэ, хи укал илракан нурутчинри, этий Мину хар». 
LUK.22.62	Пётр, төлэски нёриди, энтэкэе хоӈалрин.
LUK.22.63	Бэил-нян, Иисусу дявутчал, Ноӈман хилгиттитан, Ноӈман кусиритэн, 
LUK.22.64	нян, ясаллон онередюр, Ноӈан итылан пасакритан, нян Ноӈман улгимиритэн:
LUK.22.64	– Хи, мэтумӈэ бими, гөли, ӈи Хину пасакрин.
LUK.22.65	Хояч-та гэрбэтэӈэч Ноӈман дяргаритан.
LUK.22.66	Тарбач инэӈ одакан, каганкар, дюлэгэл хиргэчимӈэл попал чакабтакатан, Иисусу Синедрионтэки илбэритэн, 
LUK.22.67	Ноӈман улгэмритэн:
LUK.22.67	– Хи Христос бисэнри? Мунтэки тарав гөли.
LUK.22.67	Иисус ноӈартакитан гөнин:
LUK.22.67	– Хунтэки гөнэку, ху этэс тэдер, 
LUK.22.68	тарбач хуну-дэ улгэмрэку, Минтэки ху этэс барагра, Мину этэс-тэ тын. 
LUK.22.69	Тарбач тек эдук дюлэски Бэй Хутэн Оча Хэвки эӈин ангидадун тэгэткэрэдин.
LUK.22.70	Тар нян эйдучэндюр гөнитэн:
LUK.22.70	– Тарбач Хи Хэвки Хутэн бисэнри?
LUK.22.70	Ноӈан ноӈартакитан барагрин:
LUK.22.70	– Ху гөнэс, Ӈи-дэ Мин бисив.
LUK.22.71	Ноӈартан нян гөнитэн:
LUK.22.71	– Иррөчим унэт уталукам мут хастирап? Мут мэркэсэр Ноӈан гөнивэн долдарит.
LUK.23.1	Нян чэлэдюр ноӈартан хоял илритан, тадук Иисусу Пилаттаки илбэритэн. 
LUK.23.2	Нян Ноӈман усалтадилритан, гөникэр:
LUK.23.2	– Бу, Ноӈан мун ӈөнмивун кэнелилбэвкэттивэн, унуривун, нян бөннэв-дэ тэгэмэрду дэливум
LUK.23.3	Пилат-нян Ноӈман улгэмрин:
LUK.23.3	– Хи Иудея Тэгэмэрэн бисэнри?
LUK.23.3	Иисус ноӈантакин барагрин:
LUK.23.3	– Хи гөнэнри.
LUK.23.4	Пилат дюлэгэлтэки хиргэчимӈэлтэки попалтаки, бэилтэки-дэ гөнин:
LUK.23.4	– Би эрэк бэй иррөчим-дэ ускан эсэм хар.
LUK.23.5	Ноӈартан-нян касагчиритан, гөникэн:
LUK.23.5	– Ноӈан бэилбу тыкумкаттан, чэлэн Иудеяли хупкутми, Ноӈан Галилеядук хупкучидилрин элэ билэк исакан.
LUK.23.6	Пилат, Галилеяв долдами, улгэмрин:
LUK.23.6	– Эв Ноӈан Галилеянкан?
LUK.23.7	Тарбач, Иисус Ирод төрэӈдукун бисивэн халми, Иродтаки хөрукэнин, тарак-та эрэл инэӈэӈнэтэн Иерусалимдула биситки. 
LUK.23.8	Ирод, Иисусу иттыди, энтэкэе хөкнин, гору Ноӈман ичимсин, хояв Ноӈман долдача бими, нян яв-ул Ноӈан хомив некривэн иттэй эеттин, 
LUK.23.9	нян хояв улгимим Иисустаки улгэмрин, тарбач Ноӈан яв-да эч барагра. 
LUK.23.10	Дюлэгэл хиргэчимӈэл попал-нян, Итум хупкучимӈэл-дэ илаттитан, нян энтэкэеч Ноӈман усалтаддытан. 
LUK.23.11	Тарбач Ирод мэн кусимӈэлнюми Ноӈман, мэн хэрдэлэй овканиди, нян Ноӈандин ининриди, Иисусу ӈулдэнеч оич тэтукэнин, тадук амаски Пилаттаки хөрукэнин. 
LUK.23.12	Тарав инэӈу Пилат Ироднюн мэр доливур харакал одытан, тарбач нонан мэр доливур булэтмэттитэн.
LUK.23.13	Пилат-нян, дюлэгэлбу хиргэчимӈэлбу попалбу, бэгэсэлбу-дэ, бэилбу-дэ чакриди, 
LUK.23.14	ноӈартакитан гөнин:
LUK.23.14	– Ху минтэки эрэв бэю эмукэнисэн, ӈөнмив кэнелилбэвкэттыв, тарбач хун бисэкэсэн, би Ноӈман яруттив, нян эрэк бэй ускан эчу бакра, яв-да-титта Ноӈман хун усалтавканчавусан. 
LUK.23.15	Ирод тачин-та-тта яв-да эч бакра, ноӈан Иисусу амаски муттэки хөрукэнин, тарбач көкэвкэнду як-та ус Ноӈандулан ачча, 
LUK.23.16	тарбач моериди Ноӈман, тындим.
LUK.23.17	Хэбдекэдек бисэкэн, Пилат ноӈардутан өмэм хинючакла тэгэттыв нёвкэннэ бисин. 
LUK.23.18	Тарбач чэлэн бэил иркадилритан:
LUK.23.18	– Ноӈан көкэдэн! Вараввав-нян мунду тыли!
LUK.23.19	Варавва, городла налдамачаку овканчалий, нян мачалий-да хинючакла тэгукэмчэ бисин. 
LUK.23.20	Пилат нян-да дылгами мудаклин төрэлрин, Иисусу тындэй некми. 
LUK.23.21	Тарбач ноӈартан иркаритан:
LUK.23.21	– Тэлгэли, Ноӈман тэлгэли!
LUK.23.22	Пилат ноӈартакитан иливрин гөнин:
LUK.23.22	– Яв макан кэнелив Ноӈан некрин? Би яв-да, яли Ноӈан көкэннэ биннэвэн, Ноӈандулан эчу бакра, тарбач Ноӈман моериди, тындим.
LUK.23.23	Тарбач ноӈартан дылгамур мудаклин иркаддытан, касагчиддытан, Иисус тэлгэвдэн, нян ноӈартан, дюлэгэл хиргэчимӈэл попал-да иркантан дабдуканин. 
LUK.23.24	Нян Пилат тарал гасчиригчинтан бидэн дяпкарин, 
LUK.23.25	Вараввав, городла налдамачу овканчалин, мачалий-да тэгэтчэв ноӈардутан тынин, Иисусу-нян бэил касагчиндутан бөрин.
LUK.23.26	Нян ок-ка этумӈэл Ноӈман илбэддытэн, мэн исувкэчидектукий төрэӈдукий бэю Симонач гэрбэлэттыв Киринеямкам, городтаки мучуддыв, ноӈартан иттитэн. Ноӈартан Симом киресу мэндулэй оггурэвкэвкэнитэн, Иисус амардадун тарав индэн. 
LUK.23.27	Хоял бэил Ноӈандун боддитан, асал-да набуттыл, Ноӈман хоӈрил, амардадун ӈэнритэн. 
LUK.23.28	Иисус-нян, ноӈартакитан эсэниди, гөнин:
LUK.23.28	– Иерусалим хунадилни, Мину эдилрэ хоӈкилрэ, мэнур, мэр-дэ хурэлбур хоӈлилра, 
LUK.23.29	эр инэӈэл эмэдилрэ, ок гөӈрэдир: «Кэтэмэл несэлкэсэр, эчэл хутэлбэвкэнчэл урэл-дэ, эчэл окуттывкэнчэл окэр-дэ». 
LUK.23.30	Таракам урэкчэртэки гөндидилдир: «Мундулэ тиклилрэ!» – хөпкэчэртэки: «Муну даслилра!» 
LUK.23.31	Чулбаладдыв хякитав эчин некрэкэтэн, нинкату-нян яградир?
LUK.23.32	Иисуснюн унэт дӫрбу усалкасалбу хөнэлбу мадавур илбэритэн. 
LUK.23.33	Ӈэнрэкэтэн билэклэ, Голгофач гэрбуттылэ, таду, Иисусу тэлгэридюр, нокритан, хөнэлбу-дэ, тэлгэридюр, Ноӈнюнни нокритан, өмэм ангидалин, гяв дегэнгидэлин. 
LUK.23.34	Иисус гөнин:
LUK.23.34	– Амму, хэлэли ноӈарбутан, ноӈартан яривур-да эстэн хар.
LUK.23.34	Тарал, тыкукэчим усиӈэтникэн, мэр дөливур Иисус оилбан бөритматтитан. 
LUK.23.35	Бэил, тарав коетникэн, илаттитан. Бэгэсэл-эси Ноӈандин ининритэн, гөникэн:
LUK.23.35	– Хөнтэлбу айчиддин, тек мэни-нян айдан, Христос, Хэвки Хинмачан бими.
LUK.23.36	Кусимӈэл-дэ тачинта-тта Ноӈман хилгиттитан, Ноӈантакин дагамридюр, дюирсив минэв бөтникэн, 
LUK.23.37	гөнитэн:
LUK.23.37	– Мэни айчили, Иудея тэгэмэрэн бими.
LUK.23.38	Нян Ноӈан ойдэлэн дукун бисин, греческаил-ди, римскаил-ди, еврейскаилди-да төрэрди дукутты: «Эрэк Иудея Тэгэмэрэн».
LUK.23.39	Өмэн Ноӈнюнни Киресту тэлгэнь нокутты, Иисусу осэйникэн, иркаддин:
LUK.23.39	– Христос бими, Мэни, муну-дэ айчили!
LUK.23.40	Гя-си, тарав тывнэвкэсчирин, гөникэн:
LUK.23.40	– Эв хи Хэвкив эсэнри ӈэлрэ, мэнкэн-дэ бэйди тачин-та итувча биникэн? 
LUK.23.41	Мут дяпкач итувчал бисэп, некчэливур-дэ айдитчин бакрит, Ноӈан-аси яв-да кэнелив эч некрэ.
LUK.23.42	Иисустэки-дэ ноӈан гөнин:
