JHN.1.1	Ayns y toshiaght va’n Goo, as va’n Goo marish Jee, as va’n Goo Jee. 
JHN.12.24	Dy firrinagh firrinagh ta mee gra riu, Mannagh vel y grine curnaght tuittym ayns y thalloo, as goll eig, te cummal ny un ghrine kinjagh: agh my te goll eig: te gymmyrkey magh mooarane mess. 
JHN.12.25	Eshyn shynney lesh e vioys, caillee eh eh: agh eshyn nagh vel soiaghey jeh e vioys ’sy theihll shoh, freillee eh eh gys y vea veayn. 
JHN.12.26	My nee dooinney erbee mish y hirveish, lhig da geiyrt orrym; as y raad ta mish, shen y raad myrgeddin vees my harvaant: my nee dooinney erbee mish y hirveish, dasyn ver my Ayr onnor. 
JHN.12.27	Nish ta my annym seaghnit; as cre jir-ym? Ayr, saue mee veih’n oor shoh: agh er yn oyr shoh haink mee gys yn oor shoh. 
JHN.12.28	Ayr, cur gloyr da dty ennym hene. Eisht haink coraa veih niau, gra, Ta mee hannah er ghloyraghey eh, as nee’m eh y ghloyraghey reesht. 
JHN.12.29	Dooyrt y pobble er-y-fa shen va kionfenish, as cheayll yn coraa, dy nee taarnagh v’ayn: dooyrt feallagh elley, dy nee ainle ren loayrt rish. 
JHN.12.30	Dreggyr Yeesey ad, as dooyrt eh, Cha daink y coraa shoh er y choontey aym’s, agh er y choontey euish. 
JHN.12.31	Nish ta briwnys y theihll shoh: nish vees prince y theihll shoh er ny hilgey magh. 
JHN.12.32	As my veem’s er my hroggal seose jeh’n thalloo, tayrn-ym dy chooilley ghooinney hym. 
JHN.12.33	(Shoh loayr eh, cowraghey liorish shen cre’n monney dy vaase v’eh dy hurranse.) 
JHN.12.34	Dreggyr y pobble eh, Ta shin er chlashtyn ass y leigh, dy vel Creest tannaghtyn son dy bragh: as kys t’ou uss gra, dy vel y Mac dooinney dy ve troggit seose? quoi yn Mac dooinney shoh? 
JHN.12.35	Eisht dooyrt Yeesey roo, Foast tammylt beg ta’n soilshey mêriu: shooill-jee choud as ta’n soilshey eu, er-aggle dy jig y dorraghys erriu: son cha vel fys echeysyn ta shooyll ayns y dorraghys c’raad t’eh goll. 
JHN.12.36	Choud as ta soilshey eu, cred-jee ayns y toilshey, dy vod shiu ve nyn gloan jeh’n toilshey. Ny goan shoh loayr Yeesey, as jimmee eh roish, as dollee eh eh-hene voue.
JHN.12.37	Agh ga dy ren eh whilleen mirril kiongoyrt roo, foast cha chred ad ayn: 
JHN.12.38	As shen myr va goan Esaias y phadeyr cooilleenit, Hiarn, quoi ta er chredjal yn goo ain? as quoi gys ta roih yn Chiarn er ve soilshit? 
JHN.12.39	Shen-y-fa cha voddagh ad credjal, rere myr dooyrt Esaias ayns ynnyd elley. 
JHN.12.40	T’eh er lhiggey lhieu dolley ny sooillyn oc, as creoghey nyn gree; nagh vaikagh ad lesh nyn sooillyn, as nagh doigagh ad lesh nyn gree, dy beagh ad er nyn jyndaa, as dy jinnin ad y lheihys. 
JHN.12.41	Ny reddyn shoh loayr Esaias, tra honnick eh e ghloyr as loayr eh jeh.
JHN.12.42	Ny-yeih mastey ny eer ard-reiltee ren ymmodee credjal ayn; agh kyndagh rish ny Phariseeyn cha ghow ad rish, er-aggle, dy beagh ad er ny ghiarey-magh veih yn agglish. 
JHN.12.43	Son v’ad ny s’aggindee er moylley gheiney, ny moylley Yee.
JHN.12.44	Hrog Yeesey seose e choraa as dooyrt eh, Eshyn ta credjal aynym’s, cha nee aynym’s t’eh credjal, agh aynsyn t’er my choyrt. 
JHN.12.45	As eshyn ta dy my akin, t’eh fakin eshyn t’er my choyrt. 
JHN.12.46	Ta mish er jeet my hoilshey gys y theihll, quoi-erbee nee credjal aynym’s nagh jean eh tannaghtyn ayns y dorraghys. 
JHN.12.47	As my ta dooinney erbee ta clashtyn, as nagh vel freayll my ghoan, cha vel mish dy vriwnys eh: son cha daink mee dy vriwnys y seihll, agh dy hauail y seihll. 
JHN.12.48	Eshyn ta soiaghey beg jeem’s, as nagh vel goaill rish my ghoan, ta shen echey ta dy vriwnys eh: eer yn goo ta mish er loayrt, nee shen y vriwnys eh ec y laa jerrinagh. 
JHN.12.49	Son cha vel mish er loayrt jee’m pene; agh yn Ayr t’er my choyrt, eshyn hug sarey dou, cre v’orrym dy ghra, as cre lhisin loayrt. 
JHN.12.50	As ta fys aym dy vel yn sarey echeysyn yn vea dy bragh beayn: cre-erbee er-y-fa shen ta mee dy loayrt, she myr ta’n Ayr er ghra rhym, eer myr shen ta mee loayrt.
JHN.13.1	Nish, roish feailley ny Caisht, as fys ec Yeesey, dy row yn oor echey er jeet, tra v’eh dy gholl ass y theihll shoh gys yn Ayr, myr v’eh graihagh er e vooinjer hene, va ayns y theihll, hug eh graih daue gys y jerrey. 
JHN.13.2	As myr v’ad gee nyn shibber (va’n drogh-spyrryd nish er choyrt eh ayns cree Yuaase Iscariot mac Simon, dy vrah eh) 
JHN.13.3	Va fys ec Yeesey dy row yn Ayr er chur dy chooilley nhee ayns ny laueyn echey, as dy nee veih Jee haink eh, as dy nee gys Jee v’eh goll, 
JHN.13.4	Dirree eh veih shibber, as hug eh jeh e gharmadyn, as ghow eh aanrit, as chryss eh eh mysh hene. 
JHN.13.5	Eisht hug eh ushtey ayns saagh, as ren eh toshiaght dy niee cassyn e ostyllyn, as dy rubbey ad lesh yn aanrit va ec e chryss. 
JHN.13.6	Eisht haink eh gys Simon Peddyr: as dooyrt eshyn rish, Hiarn, vel uss son niee my chassyn’s? 
JHN.13.7	Dreggyr Yeesey as dooyrt eh rish, Cre ta mee dy yannoo cha vel oo toiggal nish; agh bee toiggal ayd jeh ny-yeï shoh. 
JHN.13.8	Dooyrt Peddyr rish, My chassyn’s cha niee oo dy bragh. Dreggyr Yeesey eh, mannagh nieeyms oo, cha vod ayrn erbee ve ayd mârym. 
JHN.13.9	Dooyrt Simon Peddyr rish, Hiarn, cha nee ynrycan eisht my chassyn, agh myrgeddin my laueyn, as my chione. 
JHN.13.10	Dooyrt Yeesey rish, Eshyn ta nieet, cha vel feme echey agh dy niee e chassyn, as t’eh glen ooilley harrish: as ta shiuish glen, agh cha vel shiu ooilley myr shen. 
JHN.13.11	Son va fys echey quoi va ry-hoi y vrah eh: shen-y-fa dooyrt eh, Cha vel shiu ooilley glen. 
JHN.13.12	Myr shen erreish da v’er niee ny cassyn oc, as tra v’eh er ghoaill e gharmadyn, as er hoie sheese reesht, dooyrt eh roo, Vel fys eu cre ta mee er n’yannoo riu? 
JHN.13.13	Ta shiu genmys mish nyn Mainshter, as Chiarn: as ta shiu gra dy mie; son she shen mee. 
JHN.13.14	My ta mish eisht yn Chiarn as y Mainshter eu er niee nyn gassyn, lhisagh shiuish myrgeddin yn derrey yeh eu cassyn y jeh elley y niee. 
JHN.13.15	Son ta mish er chur diu sampleyr; shiuish dy yannoo myr ta mish er n’yannoo riu. 
JHN.13.16	Dy firrinagh firrinagh ta mee gra riu, Cha vel y charvaant ny syrjey na e hiarn, ny eshyn t’er ny choyrt, ny syrjey na eshyn ren y choyrt eh. 
JHN.13.17	My ta fys eu er ny reddyn shoh, s’maynrey vees shiu my nee shiu ad y yannoo.
JHN.13.18	Cha vel mee loayrt j’iu ooilley; ta fys aym quoi ta mee er reih: agh dy vod y scriptyr ve cooilleenit, T’eshyn ta gee arran mârym, er hroggal e voyn m’oï. 
JHN.13.19	Nish ta mee ginsh diu ro-laue, tra hig eh gy-kione, dy vod shiu credjal dy nee mish eh. 
JHN.13.20	Dy firrinagh firrinagh ta mee gra riu, Eshyn ta jannoo soiagh jeh quoi-erbee ta mee dy choyrt, t’eh jannoo soiagh jeem’s: as eshyn ta soiaghey jeem’s, t’eh soiaghey jehsyn t’er my choyrt. 
JHN.13.21	Tra va Yeesey er ghra shoh, v’eh seaghnit ayns e spyrryd, as dymmyrk eh feanish, as dooyrt eh, Dy firrinagh firrinagh ta mee gra riu, dy jean fer jiuish mish y vrah. 
JHN.13.22	Eisht yeeagh ny ostyllyn er y cheilley ayns ourys quoi er v’eh cheet. 
JHN.13.23	Nish va ny lhie er oghrish Yeesey, fer jeh e ostyllyn bynney lesh. 
JHN.13.24	Chrie Simon Peddyr er-y-fa shen er, eh dy ênaght quoi er v’eh cheet. 
JHN.13.25	Myr v’eh eisht ny lhie rish oghrish Yeesey, dooyrt eh rish, Hiarn, quoi eh? 
JHN.13.26	Dreggyr Yeesey, She eshyn eh da verym greme dy arran, tra vee’m er hummey eh. As tra v’eh er hummey yn greme, hug eh eh da Yuaase Iscariot mac Simon. 
JHN.13.27	As lurg y greme, hie yn drogh-spyrryd stiagh ayn. Eisht dooyrt Yeesey rish, Shen t’ou dy yannoo, jean eh dy tappee. 
JHN.13.28	Nish cha row fys ec dooinney jeu ec y voayrd cre’n-fa loayr eh shoh rish. 
JHN.13.29	Son heill paart, er-yn-oyr dy nee ec Yuaase va’n sporran, dy row Yeesey er ghra rish, Kionnee ny vees mayd feme cour y feailley: ny eh dy chur jeirk da ny boghtyn. 
JHN.13.30	Erreish da eisht v’er n’ghoaill y greme dy arran, hie eh chelleeragh magh: as va’n oie ayn.
JHN.13.31	Shen-y-fa erreish da v’er n’gholl magh, dooyrt Yeesey, Nish ta’n Mac dooinney er ny ghloyraghey, as ta Jee er ny ghloyraghey ayn. 
JHN.13.32	My ta Jee er ny ghloyraghey ayn, nee Jee myrgeddin eshyn y ghloyraghey ayn hene, as nee eh dy gerrit eh y ghloyraghey. 
JHN.13.33	Chloan veggey, foast tammylt beg ta mish mêriu. Nee shiu my hirrey: as myr dooyrt mee rish ny Hewnyn, Raad ta mish goll, cha vod shiuish cheet; myr shen ta mee nish gra riuish. 
JHN.13.34	Sarey noa ta mee dy choyrt diu, Shiu dy ve graihagh yn derrey yeh er y jeh elley; myr ta mish er ve graihagh erriuish, dy der shiuish myrgeddin graih yn derrey yeh da’n jeh elley. 
JHN.13.35	Liorish shoh vees fys ec dy chooilley ghooinney dy vel shiu gynsaghey voym’s, my vees shiu graihagh yn derrey yeh er y jeh elley.
JHN.13.36	Dooyrt Simon Peddyr rish, Hiarn, c’raad t’ou goll? Dreggyr Yeesey eh, Raad ta mee goll, cha vod oo geiyrt orrym nish; agh eiyree oo orrym ny lurg shoh. 
JHN.13.37	Dooyrt Peddyr rish, Hiarn, cre’n-fa nagh voddym geiyrt ort nish? scarrym rish my vioys er dty ghraih. 
JHN.13.38	Dreggyr Yeesey eh, Jean oo scarrey rish dty vioys er my ghraih’s? Dy firrinagh firrinagh ta mee gra rhyt, Nagh jean y kellagh gerrym, derrey obbys oo mish three keayrtyn.
JHN.14.1	Ny lhig da’n cree eu ve seaghnit: ta shiu credjal ayns Jee, cred-jee myrgeddin aynym’s. 
JHN.14.2	Ayns thie my Ayrey ta ymmodee ynnydyn-vaghee; dy beagh eh er aght elley, veign er n’insh diu: ta mee goll dy yannoo aarloo ynnyd er nyn son. 
JHN.14.3	As my hem’s dy yannoo aarloo ynnyd er nyn son, hig-ym reesht, as goym shiu hym pene, raad ta mish dy vod shiuish ve myrgeddin. 
JHN.14.4	As ta fys eu cre’n raad ta mee goll, as shione diu yn raad. 
JHN.14.5	Dooyrt Thomase rish, Hiarn, cha s’ain cre’n raad t’ou goll, as kys oddys enney y ve ain er y raad? 
JHN.14.6	Dooyrt Yeesey rish, Mish y raad, yn irriney, as y vea: cha vel dooinney erbee cheet gys yn Ayr, agh lioryms. 
JHN.14.7	Dy beagh enney er ve eu orrym’s, veagh enney eu er my Ayr myrgeddin: as nish ta enney eu er, as ta shiu er vakin eh. 
JHN.14.8	Dooyrt Philip rish, Hiarn, jeeagh dooin yn Ayr, as s’lioar dooin eh. 
JHN.14.9	Dooyrt Yeesey rish, Vel mish er ve choud shen mêriu, as nagh nione dhyt’s mee foast, Philip? eshyn t’er n’akin mish, t’eh er vakin yn Ayr; as kys t’ou uss gra eisht, Jeeagh dooin yn Ayr? 
JHN.14.10	Nagh vel oo credjal dy vel mish ayns yn Ayr, as yn Ayr aynym’s? ny goan ta mish dy loayrt riu, cha vel mee loayrt jee’m pene: agh yn Ayr ta tannaghtyn aynym, eshyn ta jannoo ny obbraghyn. 
JHN.14.11	Cred-jee mish, dy vel mee ayns yn Ayr, as yn Ayr aynym’s: er-nonney cred-jee mee er graih ny eer obbraghyn. 
JHN.14.12	Dy firrinagh firrinagh ta mee gra riu, Eshyn ta credjal aynym’s, ny obbraghyn ta mish dy yannoo nee eshyn myrgeddin, as obbraghyn smoo na ad shoh nee eh; er-y-fa dy vel mish goll roym gys my Ayr. 
JHN.14.13	As cre-erbee nee shiu y hirrey ayns yn ennym aym’s, shen neem’s y yannoo, dy vod yn Ayr v’er ny ghloyraghey ayns y Mac. 
JHN.14.14	My hirrys shiu nhee erbee ayns yn ennym aym’s, nee’m eh y yannoo.
JHN.14.15	My ta shiu graihagh orrym’s, freill-jee my annaghyn. 
JHN.14.16	As guee-yms gys yn Ayr, as ver eh hiu Fer-gerjagh elley dy hannaghtyn mêriu son dy bragh. 
JHN.14.17	Eer Spyrryd ny firriney, nagh vod y seihll goaill-rish, er-y-fa nagh vel ad dy akin eh, as nagh nione daue eh: agh shione diuish eh, son t’eh tannaghtyn mêriu, as bee eh ayndiu. 
JHN.14.18	Cha vaag-ym shiu gyn gerjagh; higyms hiu. 
JHN.14.19	Foast tammylt beg, as cha vel y seihll dy my akin ny smoo; agh ta shiuish dy my akin: er-yn-oyr dy vel mish bio, bee shiuish bio myrgeddin. 
JHN.14.20	Ayns y laa shen vees fys eu dy vel mish ayns my Ayr, as shiuish aynym’s, as mish ayndiuish. 
JHN.14.21	Eshyn ta my annaghyn’s echey, as ta freayll ad, eshyn eh ta graihagh orrym’s: as eshyn ta graihagh orrym, ver my Ayr graih da, as ver-yms graih da, as soilshee-ym mee hene da. 
JHN.14.22	Dooyrt Yuaase rish, cha nee Iscariot, Hiarn, kys te dy jean oo oo-hene y hoilshaghey dooinyn, as cha nee da’n seihll? 
JHN.14.23	Dreggyr Yeesey as dooyrt eh rish, My ta dooinney graihagh orrym, freillee eh my ghoan: as ver my Ayr graih da, as hig mayd huggey, as nee mayd tannaghtyn mârish. 
JHN.14.24	Eshyn nagh vel graihagh orrym’s, cha vel eh freayll my ghoan: as y goo ta shiu dy chlashtyn, cha nee lhiam’s eh, agh goo yn Ayr t’er my choyrt. 
JHN.14.25	Ny reddyn shoh ta mee er loayrt riu, choud’s ta mee foast mêriu. 
JHN.14.26	Agh nee Fer-ny-gherjagh, ta shen, yn Spyrryd Noo, eh nee yn Ayr y choyrt ayns yn ennym aym’s, gynsaghey diu dy chooilley nhee, as tayrnee eh dy chooilley nhee gys nyn gooinaghtyn, cre-erbee ta mish er ghra riu. 
JHN.14.27	Shee ta mee dy aagail mêriu, my hee ta mee dy choyrt diu: cha nee myr ta’n seihll coyrt, ta mish dy choyrt eh diu. Ny lhig da’n cree eu ve seaghnit, chamoo lhig da aggle y ve er. 
JHN.14.28	Ta shiu er chlashtyn kys dooyrt mee riu, Ta mee goll roym, as cheet reesht hiu. Dy beagh shiu graihagh orrym, ghoghe shiu boggey, er-y-fa dy dooyrt mee, Ta mee goll roym gys my Ayr: son ta my Ayr ny syrjey na mish. 
JHN.14.29	As nish ta mee er n’insh diu ro-laue, tra hig eh gy-kione, dy vod shiu credjal. 
JHN.14.30	Veih shoh magh cha loayr-ym cooidvooar riu: son ta prince y theihll shoh cheet, as cha vel nhee erbee echey aynym’s. 
JHN.14.31	Agh dy vod fys y ve ec y theihll dy vel mish graihagh er yn Ayr; as myr hug yn Ayr sarey dou, myr shen ta mee jannoo. Trog-jee erriu, lhig dooin goll roïn.
JHN.15.1	Mish y billey-feeyney firrinagh, as my Ayr yn eirinnagh. 
JHN.15.2	Dy chooilley vanglane aynym’s nagh vel gymmyrkey mess, t’eh dy ghoaill ersooyl: as dy chooilley vanglane ta gymmyrkey mess, t’eh dy phollal, dy vod eh ve ny s’messoil. 
JHN.15.3	Nish ta shiuish glen trooid y goo ta mish er loayrt riu. 
JHN.15.4	Jean-jee tannaghtyn aynym’s, as mish ayndiuish. Myr nagh vod y banglane mess y ymmyrkey jeh hene, mannagh vel eh tannaghtyn ayns y villey-feeyney: chamoo oddys shiuish, mannagh jean shiu tannaghtyn aynym’s. 
JHN.15.5	Mish y billey-feeyney, shiuish ny banglaneyn: eshyn ta tannaghtyn aynym’s, as mish aynsyn, t’eh shoh cur magh mooarane mess: son scarrit voym’s cha vod shiu jannoo monney dy vie. 
JHN.15.6	Mannagh vel dooinney tannaghtyn aynym’s t’eh tilgit magh myr banglane, as t’eh fioghey; as t’ad dyn deiy as dyn dilgey ad ayns yn aile, as t’ad er nyn lostey. 
JHN.15.7	My nee shiu tannaghtyn aynym’s, as my ghoan’s tannaghtyn ayndiuish, shirree shiu cre sailliu, as bee eh jeant er nyn son. 
JHN.15.8	Liorish shoh ta my Ayr er ny ghloyraghey, shiu dy chur magh lane mess, as shoh myr vees shiu ny ynseydee aym’s. 
JHN.15.9	Myr ta’n Ayr graihagh orrym’s, myr shen ta mish er ve graihagh erriuish: jean-jee tannaghtyn ayns y ghraih aym’s. 
JHN.15.10	My nee shiu my annaghyn y reayll, nee shiu tannaghtyn ayns my ghraih: eer myr ta mish er vreayll annaghyn my Ayrey, as tannaghtyn ayns y ghraih echeysyn. 
JHN.15.11	Ny goan shoh ta mee er loayrt riu, dy vod y boggey aym’s ve er-mayrn ayndiu, as dy vod y boggey euish v’er ny yannoo magh. 
JHN.15.12	Shoh my harey, Shiu dy chur graih yn derrey yeh da’n jeh elley, myr ta mish er ve graihagh erriuish. 
JHN.15.13	Graih smoo na shoh cha vel ec dooinney erbee, na dooinney dy scarrey rish e vioys son e chaarjyn. 
JHN.15.14	She my chaarjyn shiuish, my nee shiu ny ta mish dy harey diu. 
JHN.15.15	Veih shoh magh cha vel mee dy enmys shiu sharvaantyn; son cha vel fys ec y charvaant, cre ta e hiarn dy yannoo: agh ta mee er n’enmys shiu caarjyn; son dy chooilley nhee ta mee er chlashtyn veih my Ayr, ta mee er hoilshaghey diuish. 
JHN.15.16	Cha vel shiuish er my reih, agh ta mish er reih shiuish, as er chur shiu ayns pooar, dy vod shiu goll magh as mess y ymmyrkey, as dy vod y mess eu ve beayn: cre-erbee nee shiu y hirrey er yn Ayr ayns yn ennym aym’s, dy vod eh y chur diu eh. 
JHN.15.17	Ny reddyn shoh ta mish dy harey diu, dy vod shiu ve graihagh yn derrey yeh er y jeh elley. 
JHN.15.18	My ta dwoaie ec y seihll erriu, ta fys eu dy dug eh dwoaie dooys hoshiaght. 
JHN.15.19	Dy beagh shiuish jeh’n theihll, veagh y seihll graihagh er e vooinjer hene: agh son nagh vel shiu jeh’n theihll, agh dy vel mish er reih shiu ass y theihll, shen-y-fa ta dwoaie ec y theihll erriu. 
JHN.15.20	Cooinee-jee er y raa loayr mish riu, Cha vel y charvaant ny syrjey na e hiarn. My t’ad er n’yannoo tranlaase orrym’s, nee ad myrgeddin tranlaase erriuish: my t’ad er vreayll my ghoan’s, freillee ad ny goan euish myrgeddin. 
JHN.15.21	Agh dy chooilley nhee jeu shoh nee ad riu kyndagh rish yn ennym aym’s, er-y-fa nagh vel enney oc ersyn t’er my choyrt. 
JHN.15.22	Mannagh beign’s er jeet as er loayrt roo, cha beagh peccah er ve oc: agh nish cha vel leshtal oc son nyn beccah. 
JHN.15.23	Eshyn ta dwoaie echey orrym’s, ta dwoaie echey er my Ayr myrgeddin. 
JHN.15.24	Mannagh beign’s er n’yannoo nyn mast’ oc lheid ny obbraghyn as nagh ren rieau dooinney erbee elley, cha beagh peccah er ve oc: agh nish t’ad er vakin, as er chur dwoaie chammah dooys as da my Ayr. 
JHN.15.25	Agh ta shoh, dy vod y raa ve cooilleenit ta scruit ayns y leigh oc, Hug ad dwoaie dou gyn oyr. 
JHN.15.26	Agh tra vees Fer-ny-gherjagh er jeet, eh ver-yms hiu veih yn Ayr, ta shen, Spyrryd ny firriney, ta cheet magh veih yn Ayr, nee eh feanish y ymmyrkey jeem’s. 
JHN.15.27	As nee shiuish myrgeddin feanish y ymmyrkey, er-y-fa dy vel shiu er ve mârym er-dyn toshiaght.
JHN.16.1	Ny goan shoh ta mee er loayrt riu, son nagh bee nyn gredjue er ny lhaggaghey. 
JHN.16.2	Ver ad shiu magh ass ny kialteenyn: as ta’n oor cheet, quoi-erbee varrys shiu, dy smooinee eh dy bee eh shirveish Jee. 
JHN.16.3	As ny reddyn shoh nee ad riu, er-yn-oyr nagh vel enney oc er yn Ayr, ny orrym’s. 
JHN.16.4	Agh ny reddyn shoh ta mish er n’insh diu, tra hig yn earish, dy vod shiu cooinaghtyn dy dinsh mee diu jeu. As ny goan shoh cha loayr mee riu ec y toshiaght, er-y-fa dy row mee mêriu. 
JHN.16.5	Agh nish ta mee goll roym huggeysyn t’er my choyrt, as cha vel fer j’iu fênaght jee’m c’raad t’ou goll? 
JHN.16.6	Agh er-yn-oyr dy vel mee er ghra ny reddyn shoh riu, ta trimshey er lhieeney ny creeaghyn eu. 
JHN.16.7	Ny-yeih ta mish ginsh diu yn irriney; Te ymmyrchagh er nyn son mish dy gholl roym: son mannagh jem roym, cha jig Fer-ny-gherjagh hiu; agh my hem’s roym, verym hiu eh. 
JHN.16.8	As tra vees eh er jeet, nee eh yn seihll y gheyrey mychione peccah, as cairys, as briwnys: 
JHN.16.9	Mychione peccah, son nagh vel ad credjal aynym’s; 
JHN.16.10	Mychione cairys, son dy vel mee goll roym gys yn Ayr, as nagh vaik shiu mee arragh; 
JHN.16.11	Mychione briwnys, son dy vel prince y theihll shoh er ny vriwnys. 
JHN.16.12	Shimmey red ta aym’s foast dy ghra riu, agh cha vod shiu ad y ymmyrkey nish. 
JHN.16.13	Agh tra hig eshyn, Spyrryd ny firriney, leeidee eh shiu gys dy chooilley irrinys: son cha loayr eh jeh hene, agh cre-erbee nee eh y chlashtyn, shen loayrys eh; as soilshee eh diu reddyn ta ry-heet. 
JHN.16.14	Nee eh mish y ghloyraghey: son yiow eh jeh ny ta lhiam’s, as soilshee eh diuish eh. 
JHN.16.15	Ta dy chooilley nhee t’ec yn Ayr lhiam’s: shen-y-fa dooyrt mee, dy gow eh jeh ny ta lhiam’s, as dy soilshee eh diuish eh. 
JHN.16.16	Tammylt beg as cha vaik shiu mee: as reesht, tammylt beg, as hee shiu mee, er-y-fa dy vel mee goll roym gys yn Ayr. 
JHN.16.17	Eisht dooyrt paart jeh e ostyllyn eddyr ad-hene, Cre shoh t’eh dy ghra rooin, Tammylt beg, as cha vaik shiu mee: as reesht, tammylt beg, as hee shiu mee: as, Er-yn-oyr dy vel mee goll roym gys yn Ayr? 
JHN.16.18	Dooyrt ad er-y-fa shen, Cre shoh t’eh dy ghra, Tammylt beg? cha s’ain cre t’eh dy ghra. 
JHN.16.19	Nish va fys ec Yeesey dy row ad aignagh dy ênaght jeh, as dooyrt eh roo, Vel shiu briaght nyn mast’ eu hene, er-y-fa dy dooyrt mee, Tammylt beg, as cha vaik shiu mee: as reesht, tammylt beg as hee shiu mee? 
JHN.16.20	Dy firrinagh firrinagh ta mee gra riu, Dy jean shiuish keayney as dobberan, agh nee yn seihll boggey y ghoaill: as bee shiuish trimshagh, agh bee yn trimshey eu er ny hyndaa gys boggey. 
JHN.16.21	Ta ben, tra t’ee er-troailt, as trimshey eck, er-yn-oyr dy vel yn oor eck er jeet: agh cha leah as t’ee er ny livrey jeh’n lhiannoo, cha vel ee ny sodjey cooinaghtyn er yn angaish, son boggey dy vel dooinney er ny ruggey gys y theihll. 
JHN.16.22	As ta nish er-y-fa shen trimshey euish: agh hee-yms shiu reesht, as gowee yn cree eu boggey, as y boggey eu cha gow dooinney erbee veue. 
JHN.16.23	As ayns y laa shen cha jean shiu nhee erbee y ênaght jeem’s: Dy firrinagh firrinagh ta mee gra riu, Cre-erbee hirrys shiu er yn Ayr ayns yn ennym aym’s, ver eh diu eh. 
JHN.16.24	Cha vel shiu foast er hirrey nhee erbee ayns yn ennym aym’s: shir-jee, as yiow shiu, dy vod y boggey eu v’er ny yannoo magh. 
JHN.16.25	Ny reddyn shoh ta mee er loayrt riu ayns coraaghyn-dorraghey: agh ta’n traa cheet tra nagh loayrym riu ny smoo ayns coraaghyn-dorraghey, agh soilshee-ym diu dy foshlit jeh’n Ayr. 
JHN.16.26	Ayns y laa shen nee shiu geearree ayns yn ennym aym’s: as cha vel mee gra riu, dy guee-ym gys yn Ayr er nyn son: 
JHN.16.27	Son ta’n Ayr hene graihagh erriu, er-y-fa dy vel shiuish er ve graihagh orrym’s, as dy chred shiu dy daink mee magh veih Jee. 
JHN.16.28	Haink mee magh veih’n Ayr, as ta mee er jeet gys y theihll: reesht, ta mee faagail y seihll, as goll roym gys yn Ayr. 
JHN.16.29	Dooyrt e ostyllyn rish, Cur-my-ner, nish t’ou loayrt dy foshlit, as cha vel oo loayrt coraa-dorraghey erbee. 
JHN.16.30	Nish ta shin shickyr dy vel fys ayd er dy chooilley nhee, as nagh vel feme ayd dooinney erbee dy ênaght jeed: liorish shoh ta shin credjal dy daink oo magh veih Jee. 
JHN.16.31	Dreggyr Yeesey ad, Vel shiu nish credjal? 
JHN.16.32	Cur-my-ner ta’n oor cheet, as eer nish er jeet, dy bee shiu er nyn skeayley dy chooilley ghooinney gys e ynnyd hene, as dy vaag shiu mish my lomarcan: as foast cha vel mee my lomarcan, er-y-fa dy vel yn Ayr mârym. 
JHN.16.33	Ny reddyn shoh ta mee er loayrt riu, aynym’s dy vod shee y ve eu. Ayns y theihll vees seaghyn eu: agh bee-jee dy yien mie, ta mish er gheddyn barriaght er y theihll.
JHN.17.1	Ny goan shoh loayr Yeesey; as hrog eh seose e hooillyn gys niau, as dooyrt eh, Ayr, ta’n oor er jeet; jean dty Vac y ghloyraghey, dy vod dty Vac myrgeddin uss y ghloyraghey. 
JHN.17.2	Myr t’ou er chur da pooar harrish ooilley sheelnaue, dy vod eh yn vea veayn y choyrt da whilleen as t’ou er chur da. 
JHN.17.3	As shoh yn vea veayn, tushtey y ve oc jeed’s yn ynrycan Jee firrinagh, as jeh Yeesey Creest t’ou uss er choyrt. 
JHN.17.4	Ta mee er ghloyraghey oo er y thalloo: ta mee er chooilleeney yn obbyr hug oo dou dy yannoo. 
JHN.17.5	As nish, O Ayr, jean mish y ghloyraghey mayrt hene, lesh y ghloyr v’aym mayrt roish my row seihll ayn. 
JHN.17.6	Ta mee er hoilshaghey dty ennym gys ny deiney hug oo dou ass y theihll: lhiat’s v’ad, as hug oo ad dooys; as t’ad er vreayll dty ghoo. 
JHN.17.7	Nish t’ad er hoiggal dy nee voïd’s ta dy chooilley nhee t’ou er choyrt dou. 
JHN.17.8	Son hug mish dauesyn ny goan hug uss dooys; as t’ad er ghoaill huc hene ad, as er hoiggal ayns shickyrys dy daink mee magh voïds, as t’ad er chredjal dy ren oo my choyrt. 
JHN.17.9	Ta mee guee ort er nyn son: cha vel mee guee son y theihll, agh er ny son ocsyn t’ou er choyrt dou, son she lhiat hene ad. 
JHN.17.10	As ta ooilley ny ta lhiam’s lhiat’s, as ny ta lhiat’s lhiam’s, as ta mee er my ghloyraghey ayndoo. 
JHN.17.11	As nish cha vel mish dy ve ny sodjey ayns y theihll, agh t’ad shoh ayns y theihll, as ta mish cheet hood’s. Ayr chasherick, freill trooid dty ennym hene adsyn t’ou er chur dou, dy vod adsyn ve unnane, myr ta shinyn unnane. 
JHN.17.12	Choud as va mee mâroo ayns y theihll, dreill mee ad ayns dty ennym’s: adsyn hug oo dou dreill mee, as cha vel unnane oc caillit, mannagh vel mac y toyrt-mow: dy voddagh yn scriptyr ve cooilleenit. 
JHN.17.13	As nish ta mee cheet hood’s, as ny reddyn shoh ta mee dy loayrt ayns y theihll, dy vod y boggey aym’s y ve oc jeant magh ayndoo hene. 
